module,area,r,s,domain,x,y,w,h
1,4,1,1,1,16.7,9.58,2,2
2,5,0.5,0.5,1,4.44,13.64,3.16,1.58
3,3,3,3,2,0.47,18.39,3,1
4,4,2,2,2,3.9,16.32,1.41,2.83
5,6,1.5,1.5,1,16.7,11.58,2,3
6,5,0.8,0.8,2,6.34,11.35,2.5,2
7,4,0.3,0.3,1,4.2,15.22,3.65,1.1
8,7,0.6,0.6,2,20.91,10.25,2.05,3.42
9,8,3,3,2,0,11.51,4.9,1.63
10,14,0.9,1.4,1,12.91,8.61,3.75,3.73
11,9,1,3,1,12.89,14.86,2.05,4.39
12,8,2,2,2,8.84,11.35,4,2
13,12,3,3,2,22.96,7.67,2,6
14,6,1,1.5,1,0.03,15.39,2,3
15,8,4,4,1,11.46,5.65,1.41,5.66
16,12,0.8,1.3,1,21.37,13.71,3.46,3.47
17,6,0.75,0.75,2,21.96,17.26,2.83,2.12
18,5,0.7,0.7,2,2.03,15.56,1.87,2.67
19,6,0.8,0.8,1,19.23,17.22,2.74,2.19
20,4,2,2,2,12.87,5.75,1.41,2.83
21,5,0.8,0.8,1,20.87,5.61,2.5,2
22,6,1.2,1.2,2,4.04,5.57,2.24,2.68
23,4,1,1,1,0.97,13.39,2,2
24,3,1.5,1.5,1,4.9,11.27,1.41,2.12
25,12,2.7,2.7,2,10.73,13.55,2.11,5.69
26,4,1.3,1.3,2,9.7,9.07,1.75,2.28
27,8,2,2,2,0,5.77,4,2
28,9,1.4,1.4,1,18.83,13.67,2.54,3.55
29,6,2,2,2,14.94,15.32,1.73,3.46
30,4,1,1,1,18.87,5.61,2,2
31,8,2,2,2,16.7,5.58,2,4
32,7,1.2,1.2,1,14.28,5.71,2.42,2.9
33,4,0.9,0.9,2,19.11,7.91,1.9,2.11
34,16,0.8,1.4,1,6.32,6.11,3.38,4.73
35,9,0.7,1.2,2,12.99,12.35,3.59,2.51
36,8,1,1,1,5.32,16.32,2.83,2.83
37,4,1.7,1.7,2,16.93,14.58,1.53,2.61
38,3,1.5,1.5,1,23.37,5.55,1.41,2.12
39,7,1.3,1.3,2,4,8.25,2.32,3.02
40,10,1,1.5,2,8.15,14.46,2.58,3.87
41,13,0.8,1.2,2,0.03,7.77,3.95,3.29
42,6,2,2,2,9.71,5.61,1.73,3.46
43,4,0.6,0.6,2,21,7.67,1.55,2.58
44,5,0.9,0.9,2,16.87,17.26,2.36,2.12
45,7,0.7,0.7,2,18.7,10.38,2.21,3.16
