make: hw3.out started >>>
node: 1, x: 15.90, y: 15.26, w: 2.00, h: 2.00
node: 2, x: 12.59, y: 5.91, w: 3.16, h: 1.58
node: 3, x: 4.97, y: 6.47, w: 1.00, h: 3.00
node: 4, x: 20.65, y: 5.99, w: 2.83, h: 1.41
node: 5, x: 17.44, y: 9.75, w: 2.00, h: 3.00
node: 6, x: 13.90, y: 17.05, w: 2.00, h: 2.50
node: 7, x: 20.61, y: 7.57, w: 3.65, h: 1.10
node: 8, x: 5.97, y: 6.26, w: 2.05, h: 3.42
node: 9, x: 15.75, y: 5.88, w: 4.90, h: 1.63
node: 10, x: 4.01, y: 16.01, w: 3.94, h: 3.55
node: 11, x: 19.44, y: 11.56, w: 2.68, h: 3.35
node: 12, x: 8.02, y: 9.80, w: 2.00, h: 4.00
node: 13, x: 19.44, y: 17.50, w: 6.00, h: 2.00
node: 14, x: 0.02, y: 7.88, w: 2.11, h: 2.84
node: 15, x: 24.02, y: 10.25, w: 1.41, h: 5.66
node: 16, x: 4.98, y: 9.68, w: 3.04, h: 3.95
node: 17, x: 8.29, y: 7.52, w: 2.83, h: 2.12
node: 18, x: 10.40, y: 15.18, w: 2.67, h: 1.87
node: 19, x: 13.54, y: 12.93, w: 2.74, h: 2.19
node: 20, x: 0.07, y: 16.37, w: 1.41, h: 2.83
node: 21, x: 2.24, y: 5.88, w: 2.50, h: 2.00
node: 22, x: 2.74, y: 11.02, w: 2.24, h: 2.68
node: 23, x: 10.15, y: 17.30, w: 2.00, h: 2.00
node: 24, x: 17.90, y: 15.20, w: 1.41, h: 2.12
node: 25, x: 11.12, y: 7.52, w: 5.69, h: 2.11
node: 26, x: 12.15, y: 17.16, w: 1.75, h: 2.28
node: 27, x: 0.01, y: 14.01, w: 4.00, h: 2.00
node: 28, x: 1.48, y: 16.01, w: 2.54, h: 3.55
node: 29, x: 8.16, y: 15.92, w: 1.73, h: 3.46
node: 30, x: 0.24, y: 5.88, w: 2.00, h: 2.00
node: 31, x: 4.01, y: 14.01, w: 4.00, h: 2.00
node: 32, x: 19.57, y: 8.66, w: 2.42, h: 2.90
node: 33, x: 22.12, y: 9.00, w: 1.90, h: 2.11
node: 34, x: 10.02, y: 10.04, w: 3.38, h: 4.73
node: 35, x: -0.00, y: 10.72, w: 2.74, h: 3.29
node: 36, x: 2.13, y: 7.89, w: 2.83, h: 2.83
node: 37, x: 9.98, y: 5.93, w: 2.61, h: 1.53
node: 38, x: 8.32, y: 13.80, w: 1.41, h: 2.12
node: 39, x: 16.28, y: 12.86, w: 3.02, h: 2.32
node: 40, x: 19.79, y: 14.92, w: 3.87, h: 2.58
node: 41, x: 13.40, y: 9.64, w: 4.03, h: 3.22
node: 42, x: 22.20, y: 11.11, w: 1.73, h: 3.46
node: 43, x: 13.07, y: 15.34, w: 2.58, h: 1.55
node: 44, x: 16.81, y: 7.52, w: 2.36, h: 2.12
node: 45, x: 16.03, y: 17.32, w: 3.16, h: 2.21
area: 347.870187 = 25.44 * 13.68
node: 1, x: 2.50, y: 18.73, w: 2.00, h: 2.00
node: 2, x: 0.09, y: 8.43, w: 3.16, h: 1.58
node: 3, x: 22.58, y: 15.62, w: 1.00, h: 3.00
node: 4, x: 20.78, y: 10.34, w: 1.41, h: 2.83
node: 5, x: 10.04, y: 16.44, w: 2.00, h: 3.00
node: 6, x: 17.73, y: 10.12, w: 2.50, h: 2.00
node: 7, x: 8.29, y: 6.75, w: 3.65, h: 1.10
node: 8, x: 0.35, y: 11.75, w: 2.05, h: 3.42
node: 9, x: 2.86, y: 10.55, w: 1.63, h: 4.90
node: 10, x: 7.36, y: 11.40, w: 3.94, h: 3.55
node: 11, x: 6.72, y: 7.94, w: 2.68, h: 3.35
node: 12, x: 4.50, y: 11.00, w: 2.00, h: 4.00
node: 13, x: 6.62, y: 14.94, w: 2.00, h: 6.00
node: 14, x: 20.26, y: 13.17, w: 2.45, h: 2.45
node: 15, x: 8.62, y: 15.12, w: 1.41, h: 5.66
node: 16, x: 2.74, y: 15.45, w: 3.87, h: 3.10
node: 17, x: 17.30, y: 7.90, w: 2.83, h: 2.12
node: 18, x: 3.25, y: 7.88, w: 1.87, h: 2.67
node: 19, x: 0.00, y: 15.17, w: 2.74, h: 2.19
node: 20, x: 26.20, y: 11.79, w: 1.41, h: 2.83
node: 21, x: 0.00, y: 18.73, w: 2.50, h: 2.00
node: 22, x: 20.33, y: 15.99, w: 2.24, h: 2.68
node: 23, x: 22.57, y: 18.78, w: 2.00, h: 2.00
node: 24, x: 14.64, y: 12.77, w: 1.41, h: 2.12
