node: 1, x: 16.70, y: 9.58, w: 2.00, h: 2.00
node: 2, x: 4.44, y: 13.64, w: 3.16, h: 1.58
node: 3, x: 0.47, y: 18.39, w: 3.00, h: 1.00
node: 4, x: 3.90, y: 16.32, w: 1.41, h: 2.83
node: 5, x: 16.70, y: 11.58, w: 2.00, h: 3.00
node: 6, x: 6.34, y: 11.35, w: 2.50, h: 2.00
node: 7, x: 4.20, y: 15.22, w: 3.65, h: 1.10
node: 8, x: 20.91, y: 10.25, w: 2.05, h: 3.42
node: 9, x: 0.00, y: 11.51, w: 4.90, h: 1.63
node: 10, x: 12.91, y: 8.61, w: 3.75, h: 3.73
node: 11, x: 12.89, y: 14.86, w: 2.05, h: 4.39
node: 12, x: 8.84, y: 11.35, w: 4.00, h: 2.00
node: 13, x: 22.96, y: 7.67, w: 2.00, h: 6.00
node: 14, x: 0.03, y: 15.39, w: 2.00, h: 3.00
node: 15, x: 11.46, y: 5.65, w: 1.41, h: 5.66
node: 16, x: 21.37, y: 13.71, w: 3.46, h: 3.47
node: 17, x: 21.96, y: 17.26, w: 2.83, h: 2.12
node: 18, x: 2.03, y: 15.56, w: 1.87, h: 2.67
node: 19, x: 19.23, y: 17.22, w: 2.74, h: 2.19
node: 20, x: 12.87, y: 5.75, w: 1.41, h: 2.83
node: 21, x: 20.87, y: 5.61, w: 2.50, h: 2.00
node: 22, x: 4.04, y: 5.57, w: 2.24, h: 2.68
node: 23, x: 0.97, y: 13.39, w: 2.00, h: 2.00
node: 24, x: 4.90, y: 11.27, w: 1.41, h: 2.12
node: 25, x: 10.73, y: 13.55, w: 2.11, h: 5.69
node: 26, x: 9.70, y: 9.07, w: 1.75, h: 2.28
node: 27, x: 0.00, y: 5.77, w: 4.00, h: 2.00
node: 28, x: 18.83, y: 13.67, w: 2.54, h: 3.55
node: 29, x: 14.94, y: 15.32, w: 1.73, h: 3.46
node: 30, x: 18.87, y: 5.61, w: 2.00, h: 2.00
node: 31, x: 16.70, y: 5.58, w: 2.00, h: 4.00
node: 32, x: 14.28, y: 5.71, w: 2.42, h: 2.90
node: 33, x: 19.11, y: 7.91, w: 1.90, h: 2.11
node: 34, x: 6.32, y: 6.11, w: 3.38, h: 4.73
node: 35, x: 12.99, y: 12.35, w: 3.59, h: 2.51
node: 36, x: 5.32, y: 16.32, w: 2.83, h: 2.83
node: 37, x: 16.93, y: 14.58, w: 1.53, h: 2.61
node: 38, x: 23.37, y: 5.55, w: 1.41, h: 2.12
node: 39, x: 4.00, y: 8.25, w: 2.32, h: 3.02
node: 40, x: 8.15, y: 14.46, w: 2.58, h: 3.87
node: 41, x: 0.03, y: 7.77, w: 3.95, h: 3.29
node: 42, x: 9.71, y: 5.61, w: 1.73, h: 3.46
node: 43, x: 21.00, y: 7.67, w: 1.55, h: 2.58
node: 44, x: 16.87, y: 17.26, w: 2.36, h: 2.12
node: 45, x: 18.70, y: 10.38, w: 2.21, h: 3.16
