temp,area,downhill,uphill,accept,moves,accept rate
2000,735.381698,189,196,496,500,0.992
1840,988.996837,193,173,494,500,0.988
1692.8,647.317273,181,189,496,500,0.992
1557.376,980.407506,177,174,483,500,0.966
1432.78592,1002.565587,184,177,495,500,0.99
1318.163046,1225.163236,175,173,491,500,0.982
1212.710003,1732.195038,176,176,497,500,0.994
1115.693202,1106.092652,186,175,490,500,0.98
1026.437746,910.803267,186,172,489,500,0.978
944.322727,872.139604,179,175,492,500,0.984
868.776908,1054.088955,166,165,487,500,0.974
799.274756,1063.780653,180,171,490,500,0.98
735.332775,951.138372,182,175,489,500,0.978
676.506153,1217.658763,172,163,483,500,0.966
622.385661,1531.692734,181,189,477,500,0.954
572.594808,1116.127893,187,176,472,500,0.944
526.787223,771.539889,159,171,481,500,0.962
484.644246,1326.457639,175,166,480,500,0.96
445.872706,1131.285573,177,175,466,500,0.932
410.202889,1085.900986,155,158,473,500,0.946
377.386658,763.480141,169,165,467,500,0.934
347.195726,1220.333933,164,166,472,500,0.944
319.420068,979.755471,172,165,467,500,0.934
293.866462,1087.133897,169,158,460,500,0.92
270.357145,1034.312717,167,144,452,500,0.904
248.728574,914.768361,174,166,449,500,0.898
228.830288,1084.57403,156,157,447,500,0.894
210.523865,952.376143,169,154,452,500,0.904
193.681956,1012.819909,156,154,442,500,0.884
178.187399,1150.299562,157,135,433,500,0.866
163.932407,1054.946931,150,132,428,500,0.856
150.817815,1015.867414,145,143,422,500,0.844
138.752389,800.149645,146,114,410,500,0.82
127.652198,1101.865437,128,141,421,500,0.842
117.440022,697.02806,131,123,390,500,0.78
108.044821,905.299091,144,142,404,500,0.808
99.401235,910.340589,145,157,413,500,0.826
91.449136,1015.642413,141,152,410,500,0.82
84.133205,1092.563171,127,129,396,500,0.792
77.402549,690.670199,135,136,386,500,0.772
71.210345,800.674425,110,128,362,500,0.724
65.513517,918.781144,120,128,383,500,0.766
60.272436,1158.265521,117,123,391,500,0.782
55.450641,830.546427,120,112,360,500,0.72
51.01459,695.958508,123,102,356,500,0.712
46.933423,858.242264,104,106,332,500,0.664
43.178749,771.076611,130,108,359,500,0.718
39.724449,900.442247,93,104,345,500,0.69
36.546493,857.936344,100,101,345,500,0.69
33.622774,704.790187,93,96,329,500,0.658
30.932952,829.075901,104,101,343,500,0.686
28.458316,580.740351,114,98,336,500,0.672
26.18165,641.419784,95,104,323,500,0.646
24.087118,596.091707,99,97,306,500,0.612
22.160149,528.666035,79,79,285,500,0.57
20.387337,671.116935,96,107,318,500,0.636
18.75635,578.536644,85,89,303,500,0.606
17.255842,530.97609,75,64,286,500,0.572
15.875375,591.414267,74,81,262,500,0.524
14.605345,544.535687,62,61,241,500,0.482
13.436917,493.748813,63,58,263,500,0.526
12.361964,590.056353,61,62,234,500,0.468
11.373007,514.013035,50,53,231,500,0.462
10.463166,527.429346,42,47,224,500,0.448
9.626113,417.752175,45,34,189,500,0.378
8.856024,448.952758,47,49,217,500,0.434
8.147542,499.36207,34,41,192,500,0.384
7.495739,461.517942,42,37,211,500,0.422
6.896079,449.017879,44,39,180,500,0.36
6.344393,417.357029,21,27,166,500,0.332
5.836842,436.422552,20,25,156,500,0.312
5.369894,426.60025,23,24,141,500,0.282
4.940303,422.904917,26,21,142,500,0.284
4.545079,421.970136,29,28,157,500,0.314
4.181472,436.66355,30,27,168,500,0.336
3.846954,397.484175,29,19,178,500,0.356
3.539198,426.374788,18,21,134,500,0.268
3.256062,396.506224,27,16,157,500,0.314
2.995577,376.895124,17,15,164,500,0.328
2.755931,382.098213,11,12,134,500,0.268
2.535457,373.441833,16,14,132,500,0.264
2.33262,368.871226,4,4,88,500,0.176
2.14601,377.037742,13,15,140,500,0.28
1.97433,373.919285,16,14,135,500,0.27
1.816383,367.183687,18,15,133,500,0.266
1.671073,363.720653,6,5,112,500,0.224
1.537387,364.147077,7,7,109,500,0.218
1.414396,364.147077,1,1,94,500,0.188
1.301244,365.920228,3,4,116,500,0.232
1.197145,364.220534,12,9,123,500,0.246
1.101373,365.732652,7,8,122,500,0.244
1.013263,358.04236,9,6,126,500,0.252
0.932202,354.602709,7,4,99,500,0.198
0.857626,349.963067,8,6,119,500,0.238
0.789016,349.494408,6,5,129,500,0.258
0.725895,347.731891,6,3,109,500,0.218
0.667823,346.29497,5,5,117,500,0.234
0.614397,346.017653,4,3,104,500,0.208
0.565245,346.124963,4,4,84,500,0.168
0.520026,346.017653,1,0,104,500,0.208
0.478424,346.017653,0,0,89,500,0.178
0.44015,346.017653,0,0,92,500,0.184
0.404938,346.017653,1,1,91,500,0.182
0.372543,346.017653,0,0,98,500,0.196
0.342739,347.174904,0,1,88,500,0.176
0.31532,346.017653,1,0,77,500,0.154
0.290095,346.017653,0,0,95,500,0.19
0.266887,346.017653,0,0,90,500,0.18
0.245536,346.797258,1,2,93,500,0.186
0.225893,346.833913,1,2,89,500,0.178
0.207822,346.017653,2,0,101,500,0.202
0.191196,346.017653,0,0,89,500,0.178
0.1759,346.017653,0,0,98,500,0.196
0.161828,346.017653,0,0,105,500,0.21
0.148882,346.017653,0,0,103,500,0.206
0.136971,346.017653,0,0,101,500,0.202
0.126014,346.017653,1,1,112,500,0.224
0.115933,346.017653,0,0,81,500,0.162
0.106658,346.017653,0,0,83,500,0.166
0.098125,346.017653,0,0,82,500,0.164
0.090275,346.017653,0,0,83,500,0.166
0.083053,346.017653,0,0,80,500,0.16
0.076409,346.017653,0,0,88,500,0.176
0.070296,346.017653,0,0,99,500,0.198
0.064673,346.017653,0,0,85,500,0.17
0.059499,346.017653,0,0,87,500,0.174
0.054739,346.017653,0,0,87,500,0.174
0.05036,346.017653,0,0,85,500,0.17
0.046331,346.017653,0,0,94,500,0.188
0.042625,346.017653,0,0,86,500,0.172
0.039215,346.017653,0,0,106,500,0.212
0.036077,346.017653,0,0,96,500,0.192
0.033191,346.017653,0,0,89,500,0.178
0.030536,346.017653,0,0,80,500,0.16
0.028093,346.017653,0,0,94,500,0.188
0.025846,346.017653,0,0,77,500,0.154
0.023778,346.017653,0,0,86,500,0.172
0.021876,346.017653,0,0,100,500,0.2
0.020126,346.017653,0,0,89,500,0.178
0.018516,346.017653,0,0,75,500,0.15
0.017034,346.017653,0,0,90,500,0.18
0.015672,346.017653,0,0,79,500,0.158
0.014418,346.017653,0,0,87,500,0.174
0.013264,346.017653,0,0,88,500,0.176
0.012203,346.017653,0,0,83,500,0.166
0.011227,346.017653,0,0,83,500,0.166
0.010329,346.017653,0,0,77,500,0.154
